Name,Institution,Department,Discipline,Research Specializations,Unnamed: 5,Unnamed: 6,City,Country,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Location,Category,Region,Latitude,Longitude
Alonso de Llanes,Laudato Si' Action Platform,,"Business & Management
Theology & Religious Studies",Integral Ecology,Environmental Policy,Climate Action,Rome,Italy,,,,,,,,Rome,Alliance Member,Europe,41.8933203,12.4829321
Amélie Lachapelle,Université de Namur,Faculty of Law (CRIDS/NaDI),Law,Environmental Law,Whistleblowing,Digital Law,Namur,Belgium,,,,,,,,Namur,Alliance Member,Europe,50.4665284,4.8661892
Augusto Mussi Alvim,Pontifical Catholic University of Rio Grande do Sul,Business School,Economics,Agribusiness,Environmental Policy,International Trade,Porto Alegre,Brazil,,,,,,,,Porto Alegre,Alliance Member,Latin America and the Caribbean,-30.0324999,-51.2303767
Bart Muys,Katholieke Universiteit Leuven,"Division Forest, Nature and Landscape, Dept. of Earth & Environmental Sciences",Biology & Ecology,Forest Ecology,Forest Management,Bioenergy,Leuven,Belgium,,,,,,,,Leuven,Alliance Member,Europe,50.879202,4.7011675
Benjamin de Foy,Saint Louis University,"Department of Earth, Environmental and Geospatial Science",Earth & Environmental Sciences,Atmospheric Chemistry,Air Quality,Numerical Weather Prediction,Saint Louis,United States,,,,,,,,Saint Louis,Alliance Member,North America,38.6254063,-90.190009
Br. Adolf Mugume,"Holy Cross Generalate, Congregation of Holy Cross",,Theology & Religious Studies,Integral Ecology,Youth Environmental Engagement,,Rome,Italy,,,,,,,,Rome,Alliance Member,Europe,41.8933203,12.4829321
Caesar Montevecchio,University of Notre Dame,Kroc Institute for International Peace Studies,Theology & Religious Studies,Catholic Peacebuilding,Education,Global Catholicism,South Bend,United States,,,,,,,,South Bend,Alliance Member,North America,41.6833813,-86.2500066
Carmen G. Gonzalez,Loyola University Chicago,Loyola University Chicago School of Law,Law,Human Rights,Environmental Justice,International Environmental Law,Chicago,United States,,,,,,,,Chicago,Alliance Member,North America,41.8755616,-87.6244212
Caroline Baillie,University of San Diego,"Department of Integrated Engineering, Shiley-Marcos School of Engineering",Engineering,Engineering and Social Justice,Waste Management,Engineering Education,San Diego,United States,,,,,,,,San Diego,Alliance Member,North America,32.7174202,-117.162772
Caterina Bracchi,Università Cattolica del Sacro Cuore,Alta Scuola per l'Ambiente (ASA),"Environmental & Sustainability Studies
Sociology",Urban Climate Change,Green Economy,Climate-Neutral Cities,Milan,Italy,,,,,,,,Milan,Alliance Member,Europe,45.4641943,9.1896346
