Name,Institution,Department,Discipline,Research Speacializations,,,City,Country,,,,,,,
Alonso de Llanes,Laudato Si' Action Platform,,"Business & Management
Theology & Religious Studies",Integral Ecology,Environmental Policy,Climate Action,Rome,Italy,,,,,,,
Amélie Lachapelle,Université de Namur,Faculty of Law (CRIDS/NaDI),Law,Environmental Law,Whistleblowing,Digital Law,Namur,Belgium,,,,,,,
Augusto Mussi Alvim,Pontifical Catholic University of Rio Grande do Sul,Business School,Economics,Agribusiness,Environmental Policy,International Trade,Porto Alegre,Brazil,,,,,,,
Bart Muys,Katholieke Universiteit Leuven,"Division Forest, Nature and Landscape, Dept. of Earth & Environmental Sciences",Biology & Ecology,Forest Ecology,Forest Management,Bioenergy,Leuven,Belgium,,,,,,,
Benjamin de Foy,Saint Louis University,"Department of Earth, Environmental and Geospatial Science",Earth & Environmental Sciences,Atmospheric Chemistry,Air Quality,Numerical Weather Prediction,Saint Louis,United States,,,,,,,
Br. Adolf Mugume,"Holy Cross Generalate, Congregation of Holy Cross",,Theology & Religious Studies,Integral Ecology,Youth Environmental Engagement,,Rome,Italy,,,,,,,
Caesar Montevecchio,University of Notre Dame,Kroc Institute for International Peace Studies,Theology & Religious Studies,Catholic Peacebuilding,Education,Global Catholicism,South Bend,United States,,,,,,,
Carmen G. Gonzalez,Loyola University Chicago,Loyola University Chicago School of Law,Law,Human Rights,Environmental Justice,International Environmental Law,Chicago,United States,,,,,,,
Caroline Baillie,University of San Diego,"Department of Integrated Engineering, Shiley-Marcos School of Engineering",Engineering,Engineering and Social Justice,Waste Management,Engineering Education,San Diego,United States,,,,,,,
Caterina Bracchi,Università Cattolica del Sacro Cuore,Alta Scuola per l'Ambiente (ASA),"Environmental & Sustainability Studies
Sociology",Urban Climate Change,Green Economy,Climate-Neutral Cities,Milan,Italy,,,,,,,
Cecilia Herzog,Pontifical Catholic University of Rio de Janerio (Retired),Department of Architecture and Urbanism,Architecture & Built Environment,Nature-based Solutions,Urban Ecology,Ecological Landscape Planning,Rio de Janeiro,Brazil,,,,,,,
Dan Miller,University of Notre Dame,Keough School of Global Affairs,Development Studies,Environmental Policy,Conservation Finance,Forest Governance,South Bend,United States,,,,,,,
